Anos;2024;;Anos;(Vários itens);;Anos;2025
;;;;;;;
Rótulos de Linha;Média de valor_Brasil;;Rótulos de Linha;Média de valor_Brasil;;Rótulos de Linha;Média de valor_Brasil
set; R$ 13.299,23 ;;jan; R$ 12.108,10 ;;jan; R$ 12.108,10 
out; R$ 13.190,14 ;;dez; R$ 11.475,96 ;;fev; R$ 12.735,64 
nov; R$ 11.614,99 ;;Total Geral; R$ 11.764,31 ;;mar; R$ 13.042,28 
dez; R$ 11.475,96 ;;;;;abr; R$ 12.052,06 
Total Geral; R$ 12.329,14 ;;;;;mai; R$ 12.400,05 
;;;;;;jun; R$ 12.540,14 
;;;;;;jul; R$ 12.782,51 
;;;;;;ago; R$ 12.777,81 
;;;;;;set; R$ 13.163,51 
;;;;;;Total Geral; R$ 12.593,29 
